company_dunsum,product_count,top1_dunsnumber,top2_dunsnumber,top3_dunsnumber,top4_dunsnumber,top5_dunsnumber,top1_product_count,top2_product_count,top3_product_count,top4_product_count,top5_product_count,top1_jaccard_distance,top2_jaccard_distance,top3_jaccard_distance,top4_jaccard_distance,top5_jaccard_distance
9937264,8,793275504,90754292,99288102,808575278,64296932,8,8,12,9,14,0.5454545455,0.5454545455,0.5714285714,0.5833333333,0.625
7507671,8,147220672,68691195,800057262,789350154,37752458,4,5,2,2,2,0.6666666667,0.7,0.75,0.75,0.75
7938207,1,1885953,968852749,58317863,847927498,806756552,1,1,1,1,1,0,0,0,0,0
15184534,1,75420380,835563974,123787736,786538561,618257146,1,1,1,1,1,0,0,0,0,0
830597097,1,830195504,832499516,832898055,610557899,809753465,1,6,9,10,14,0,0.8333333333,0.8888888889,0.9,0.9285714286
2136877,56,157301839,147026272,193346116,833064566,160975009,53,58,38,61,91,0.6707317073,0.6896551724,0.6944444444,0.7142857143,0.7217391304
607131083,1,62506134,56702756,11302288,787361302,143943475,1,1,1,1,1,0,0,0,0,0
793172169,1,104377085,609355532,21015701,872835884,6973804,1,1,3,3,3,0,0,0.6666666667,0.6666666667,0.6666666667
48667786,1,962718206,78652615,808381685,43536155,83146266,1,1,1,2,2,0,0,0,0.5,0.5
39393475,15,837283969,188812150,115348054,112117283,50471416,5,6,7,7,7,0.6666666667,0.6875,0.7058823529,0.7058823529,0.7058823529
798315149,6,47021092,122240021,192344265,848510228,184763290,4,5,2,2,2,0.5714285714,0.625,0.6666666667,0.6666666667,0.6666666667
831654236,1,824847503,47155168,70111927,135174584,831654269,1,1,1,1,1,0,0,0,0,0
800535325,1,612539135,786474093,827134995,968430475,930186598,1,1,1,1,1,0,0,0,0,0
2197416,2,147679943,607102357,66035416,940061927,85667327,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
189073364,2,113225986,47665075,602257672,807767306,131640919,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
95371472,4,102921483,80806417,195188995,86673175,361060502,4,2,2,2,2,0.4,0.5,0.5,0.5,0.5
110046971,4,966507378,961917759,84871276,96865837,47385872,1,1,1,1,1,0.75,0.75,0.75,0.75,0.75
83525790,1,60729753,612539135,2163178,11478401,2300051,38,1,3,1,5,0.9736842105,1,1,1,1
1261031,1,193803103,2186815,5233960,101552495,75961300,1,1,1,1,1,0,0,0,0,0
4201522,1,78319284,38651498,5430026,2190908,78711754,1,2,3,8,10,0,0.5,0.6666666667,0.875,0.9
944535152,1,295725600,828684378,6015424,7547651,95171724,1,1,1,1,1,0,0,0,0,0
12973875,1,3274045,807835793,5029111,68795830,189658888,1,1,1,1,1,0,0,0,0,0
884626953,2,72704224,795925911,134762934,193287968,81894156,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
27406149,2,78794233,837549708,625905062,829386072,145683640,2,1,1,1,1,0,0.5,0.5,0.5,0.5
152364147,1,612539135,2163178,11478401,2300051,878914340,1,3,1,5,3,1,1,1,1,1
11831591,1,130186794,11831159,622027548,92821883,44156925,1,1,1,1,1,0,0,0,0,0
1903038,1,831737478,99929747,64305212,6403448,803875343,1,1,1,1,1,0,0,0,0,0
186585741,1,119050664,878380195,600809656,786575139,83920140,1,1,1,1,1,0,0,0,0,0
605898824,1,878587583,94715344,185571499,830172024,5313783,1,1,1,1,1,0,0,0,0,0
131701732,1,186641259,152722773,958016545,42398839,8198421,1,1,1,1,1,0,0,0,0,0
53306270,5,147430540,2140390,876756826,145945833,961556672,3,10,6,1,1,0.6666666667,0.75,0.7777777778,0.8,0.8
83739263,1,828118484,142659635,809163319,75916762,969738116,1,1,1,1,1,0,0,0,0,0
942720843,1,824640077,858846892,789993607,968904698,612539135,1,2,13,132,1,0,0.5,0.9230769231,0.9924242424,1
94245099,3,830244059,131362733,33723990,833145480,11830023,2,2,2,2,3,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.5
36752624,1,830575101,131560935,119704054,831531285,78460157,1,1,1,1,1,0,0,0,0,0
135962137,3,80778868,83864038,44519445,784369092,12928953,2,2,2,2,2,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333
361592082,1,832881655,18100524,831751552,6631720,24693306,1,1,1,1,1,0,0,0,0,0
828479688,9,71541614,809013068,144813057,87450391,829721138,8,18,2,2,2,0.6923076923,0.7727272727,0.7777777778,0.7777777778,0.7777777778
121396217,2,144951386,372723254,148099450,170562909,98401086,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
2349256,12,3336971,622591196,143595697,75818075,130487184,3,4,5,11,11,0.75,0.7692307692,0.7857142857,0.7894736842,0.7894736842
175516384,1,965254654,1315613,831739078,168545007,7598764,1,1,1,1,1,0,0,0,0,0
11331824,2,2523629,173410267,112690297,11369519,609133744,3,1,1,1,1,0.3333333333,0.5,0.5,0.5,0.5
152056029,1,806710588,784116691,793134081,847410081,41183773,1,1,1,1,1,0,0,0,0,0
830201062,1,84146505,198475527,801231635,831918615,168306483,1,1,1,1,1,0,0,0,0,0
11920683,1,108854829,57632879,616820288,2382075,178806928,1,1,1,1,2,0,0,0,0,0.5
4492575,1,191346506,962384710,94238912,5593470,51660694,1,1,1,1,1,0,0,0,0,0
155561806,1,5574330,181118738,53307435,125871405,827149183,1,1,1,1,1,0,0,0,0,0
81748142,1,832712322,77306645,87626917,52956729,87280806,1,2,2,2,3,0,0.5,0.5,0.5,0.6666666667
198627978,1,932838519,957270739,4074261,126959774,927746578,1,1,1,1,1,0,0,0,0,0
602861726,3,5050346,136950180,802022033,790761543,837769124,2,3,4,1,1,0.3333333333,0.5,0.6,0.6666666667,0.6666666667
830240607,1,6382253,156124336,147876002,31034911,964254601,1,1,1,1,1,0,0,0,0,0
76668458,5,198517146,963479725,42895367,2173375,38376674,4,5,2,2,2,0.5,0.5714285714,0.6,0.6,0.6
2458297,1,2451839,8582421,17392528,927557033,610661688,1,1,1,1,1,0,0,0,0,0
8447682,1,360640734,961651846,47583851,964498849,27059265,1,1,1,1,1,0,0,0,0,0
626451538,3,58996638,60734530,63156657,12216321,54321898,4,2,3,4,1,0.25,0.3333333333,0.5,0.6,0.6666666667
85178908,1,150916658,808501931,7021066,603960469,608067005,1,1,1,1,1,0,0,0,0,0
181118738,1,5574330,155561806,53307435,125871405,827149183,1,1,1,1,1,0,0,0,0,0
788467533,1,11466158,126785133,847414760,784351319,624613753,1,1,1,1,1,0,0,0,0,0
40861601,1,968997101,88805734,81897456,613866735,937890044,1,1,1,1,1,0,0,0,0,0
92337252,1,143941297,112121962,612539135,2163178,11478401,5,11,1,3,1,0.8,0.9090909091,1,1,1
14866070,1,59640651,805666208,9532394,103995051,30205363,1,1,1,1,1,0,0,0,0,0
147180418,29,68691609,607970691,133430509,193953726,53547238,27,14,9,31,27,0.6,0.7714285714,0.7741935484,0.7755102041,0.7826086957
64278278,2,788125958,2206832,946773574,827392312,828740824,2,2,2,2,2,0,0,0,0,0
1776418,1,179710822,784101243,603167706,129308545,5412739,1,1,1,1,1,0,0,0,0,0
105298611,1,79094878,142839948,830833146,48182708,829150333,1,1,1,1,1,0,0,0,0,0
168391886,2,879322667,926367939,166669742,178699799,11200987,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
179710822,1,1776418,784101243,603167706,129308545,5412739,1,1,1,1,1,0,0,0,0,0
966268885,2,83739263,828118484,142659635,809163319,75916762,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
5093901,1,47935531,106539174,81398109,962026360,784809563,1,1,1,1,1,0,0,0,0,0
166754726,2,930301978,781010025,933935124,131284841,127952583,2,2,7,7,9,0.6666666667,0.6666666667,0.875,0.875,0.9
800115714,3,161100326,205556538,807692236,834569816,10727660,1,1,5,1,1,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667
25992104,1,6222857,832627397,962475237,144813057,20138298,1,1,1,2,2,0,0,0,0.5,0.5
1707900,3,153884007,100943047,617319504,172222791,13900449,1,1,1,1,1,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667
152722773,1,186641259,131701732,958016545,42398839,8198421,1,1,1,1,1,0,0,0,0,0
139402333,2,1826627,831654236,801152042,99735177,824847503,3,1,4,1,1,0.3333333333,0.5,0.5,0.5,0.5
42068101,11,134248751,145051095,67504134,787144807,15334899,3,20,10,16,16,0.7272727273,0.76,0.7647058824,0.7727272727,0.7727272727
611245549,2,73752800,832426782,789118627,782974588,142522403,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
783888084,3,967109588,75183293,1885953,968852749,54321898,3,3,1,1,1,0.5,0.5,0.6666666667,0.6666666667,0.6666666667
805774044,1,157012845,963475111,81944345,1911833,11073236,1,1,1,1,1,0,0,0,0,0
144280088,2,106931488,51229602,804684207,44141757,23598378,2,2,2,2,2,0,0,0,0,0
130485840,2,112093302,625262688,64350234,55314140,115959116,3,1,1,1,1,0.3333333333,0.5,0.5,0.5,0.5
